Ticket_ID,Epic,Execution_Wave,Task,Source_Refs,Owner_Role,Suggested_Agent,Work_Type,Priority,Estimate_Hours,Depends_On,Definition_of_Done
TPA-M-001,E0-Architecture-Guardrails,W0-Now(0-3h),"Freeze Architecture A guardrails + ADR checklist (module seams, host-authority rules, platform budget constraints)","TPA-PM1-002|PM2-003|TPA-PM3-001|selection.md|triage-summary.md",Tech Architect,tech-architect,Design Decision,P0,0.5,,"ADR checklist published in repo and acknowledged by dev owners"
TPA-M-002,E0-Program-Control,W0-Now(0-3h),"Create execution board + owner map for W0/W1 with strict dependency order","PM2-000|PM2-003|TPA-PM3-012|triage-summary.md",PM Lead,arcade-pm,PM/Coordination,P0,0.4,TPA-M-001,"Board reflects this master backlog; owners and handoff order are explicit"
TPA-M-003,E1-Foundation,W0-Now(0-3h),"Unity 2022.3 scaffold validation with package pins and assembly boundaries (Core/Combat/Puzzle/AI/Networking/UI/Progression/Save)","TPA-PM1-001|TPA-PM1-002|TPA-PM3-001",Engineering Lead,arcade-dev-01,Coding,P0,0.8,TPA-M-001,"Project opens cleanly; assemblies compile without circular refs; bootstrap scene runs"
TPA-M-004,E2-Multiplayer-Spine,W0-Now(0-3h),"NGO+UTP+Lobby+Relay bootstrap with host create/join/return loop","TPA-PM1-013|PM2-100|TPA-PM3-002",Network Engineer,arcade-dev-01,Coding,P0,0.9,TPA-M-003,"Two players can create/join and return to menu without crash"
TPA-M-005,E3-Core-Combat,W0-Now(0-3h),"Implement Blue/Green baseline locomotion + fixed-arc fire bands (tap/hold/lob)","TPA-PM1-004|TPA-PM1-009|PM2-300|TPA-PM3-003",Combat Engineer,arcade-dev-02,Coding,P0,1.0,TPA-M-003|TPA-M-004,"Both tanks controllable in networked scene; fire bands are readable and data-driven"
TPA-M-006,E3-Core-Puzzle,W0-Now(0-3h),"Implement authoritative destructible classes + ramp traversal validation for puzzle-critical states","TPA-PM1-006|TPA-PM1-007|PM2-102|PM2-302|TPA-PM3-004",Gameplay Systems Engineer,arcade-dev-03,Coding,P0,1.1,TPA-M-003|TPA-M-004,"Destructible/ramp state changes replicate deterministically and block invalid traversal"
TPA-M-007,E3-Core-Combat,W0-Now(0-3h),"Add host projectile validation + client trajectory preview/landing marker states","TPA-PM1-005|PM2-103|TPA-PM3-003",Combat Engineer,arcade-dev-02,Coding,P0,0.8,TPA-M-005,"Host-confirmed hit outcomes match client preview within accepted tolerance"
TPA-M-008,E3-Core-Systems,W0-Now(0-3h),"Ship networked pickups (health + mystery) with host-seeded RNG","TPA-PM1-008|PM2-304|TPA-PM3-005",Gameplay Systems Engineer,arcade-dev-03,Coding,P1,0.7,TPA-M-006,"Pickup claims are race-safe; mystery outcomes are deterministic from match seed"
TPA-M-009,E4-Content-Slice,W0-Now(0-3h),"Build Map 1-1 graybox encounter with objective triggers and <2s checkpoint restart","TPA-PM1-016|PM2-401|TPA-PM3-007|triage-summary.md",Level Gameplay Engineer,arcade-dev-01,Coding,P0,0.8,TPA-M-005|TPA-M-006,"Encounter is completable solo/co-op with fast restart and deterministic objective flow"
TPA-M-010,E4-UX-Slice,W0-Now(0-3h),"Implement minimum loop UI (Main -> Tank Select -> HUD -> Pause -> Results-lite)","TPA-PM1-018|PM2-307|TPA-PM3-010",UI Engineer,arcade-dev-03,Coding,P1,0.8,TPA-M-004|TPA-M-005,"Player can run full launch-to-results loop without dead-end screens"
TPA-M-011,E2-Multiplayer-Spine,W0-Now(0-3h),"Integrate 2P co-op sanity pass with match-end summary payload and host-disconnect safe return","TPA-PM1-014|PM2-104|PM2-105|TPA-PM3-002|TPA-PM3-012",Network Engineer,arcade-dev-02,Coding,P0,0.8,TPA-M-007|TPA-M-008|TPA-M-009|TPA-M-010,"2P run clears 1-1 with synchronized critical state; disconnect path exits cleanly"
