Ticket_ID,Milestone,Milestone_Objective,Track,Priority,Risk_Burn_Down,Owner_Role,Est_Points,Depends_On,Deliverable,Definition_of_Done
PM2-000,M0-Program-Control,Lock execution plan and quality gates,PM,P0,R0-Planning-drift,PM-Lead,2,,planning/milestone-plan.md,Milestones and gate metrics approved
PM2-001,M0-Program-Control,Install multiplayer diagnostics first,Engineering,P0,R1-Desync-detection-gap,Netcode-Engineer,3,PM2-000,Runtime TickId event IDs and state hash probes,Debug overlay shows tick event hash and mismatch alerts
PM2-002,M0-Program-Control,Create platform CI matrix early,DevOps,P0,R2-Late-platform-breakage,Build-Engineer,3,PM2-000,CI jobs for WebGL Android iOS Xbox profiles,Each profile builds and publishes smoke artifact
PM2-003,M0-Program-Control,Milestone gate for risk-first kickoff,PM,P0,R0-Planning-drift,PM-Lead,1,PM2-001|PM2-002,Gate-M0-signoff,Diagnostics and CI are running before feature expansion
PM2-100,M1-Multiplayer-Stability,Stand up NGO Lobby Relay session flow,Networking,P0,R3-Session-connectivity,Netcode-Engineer,5,PM2-003,Host create join and leave flow,Two clients can create join and return to menu without crash
PM2-101,M1-Multiplayer-Stability,Build host-authoritative simulation spine,Networking,P0,R4-Authority-conflicts,Netcode-Engineer,5,PM2-100,Authoritative state service for combat puzzle and AI,Clients never directly mutate critical gameplay state
PM2-102,M1-Multiplayer-Stability,Deterministic puzzle state machine,Gameplay,P0,R5-Puzzle-state-divergence,Gameplay-Engineer,5,PM2-101,Networked puzzle state transitions with strict enums,All puzzle transitions are host validated and replayable
PM2-103,M1-Multiplayer-Stability,Projectile validation and reconciliation,Networking,P0,R6-Hit-registration-desync,Combat-Engineer,5,PM2-101,Host hit resolver with client prediction smoothing,Hit outcomes match host logs under 150ms RTT
PM2-104,M1-Multiplayer-Stability,Sync destructibles pickups objectives with event ordering,Networking,P0,R5-Puzzle-state-divergence,Gameplay-Engineer,5,PM2-102|PM2-103,Replicated destructible pickup objective channels,State remains consistent across host and client after 100 events
PM2-105,M1-Multiplayer-Stability,Handle host disconnect and recover UX,Networking,P0,R7-Host-drop-session-loss,Netcode-Engineer,3,PM2-100,Graceful match end and requeue prompts,Host drop never hard locks clients
PM2-106,M1-Multiplayer-Stability,Build lag simulation and soak scripts,QA-Automation,P0,R8-Unknown-network-resilience,QA-Engineer,3,PM2-104,Automated soak harness with packet loss presets,Thirty minute soak runs produce stability report
PM2-107,M1-Multiplayer-Stability,Milestone gate for co-op stability baseline,PM,P0,R8-Unknown-network-resilience,PM-Lead,2,PM2-105|PM2-106,Gate-M1-report,Two player co-op survives 30 minutes with zero critical desync
