ID,Epic,Task,Owner_Role,Suggested_Agent,Model,Status,Priority,Dependencies,Estimate,Acceptance_Criteria
TPA-PM1-001,Foundation,"Initialize Unity 2022.3 LTS project scaffold with URP, Input System, NGO, Unity Transport, Lobby, Relay, Addressables, Cinemachine",Engineering Lead,arcade-dev-01,litellm/worker,TODO,P0,,2d,"Project opens cleanly in Unity 2022.3 LTS; required packages pinned and installed; bootstrap scene created; CI headless validation scene load passes"
TPA-PM1-002,Foundation,"Establish architecture folder/module boundaries and service seams (Combat, Puzzle, AI, Networking, UI, Progression, Save) including INetworkRuntime abstraction",Tech Lead,arcade-dev-01,litellm/worker,TODO,P0,TPA-PM1-001,2d,"Folder structure matches selected architecture; assembly definitions compile with no circular deps; INetworkRuntime interface used by gameplay layer with NGO adapter implementation"
TPA-PM1-003,Foundation,"Configure platform profiles and runtime budgets (WebGL/mobile/Xbox quality tiers, tick settings, VFX caps)",Platform Engineer,arcade-dev-02,litellm/worker,TODO,P0,TPA-PM1-001|TPA-PM1-002,2d,"Runtime config asset exposes per-platform tick/quality presets; WebGL defaults to 20Hz profile; mobile adaptive quality toggle works; Xbox preset is selectable"
TPA-PM1-004,Combat Core,"Implement fixed-arc ballistic firing system with ScriptableObject weapon profiles and host-authoritative hit resolution",Gameplay Engineer,arcade-dev-02,litellm/worker,TODO,P0,TPA-PM1-002,4d,"No manual barrel tilt in controls; tap/hold fire bands map to defined weapon profiles; host resolves projectile impact and damage; client receives confirmed impact events"
TPA-PM1-005,Combat Core,"Add client trajectory preview, landing marker feedback, and ghost-arc miss assist tied to accessibility settings",Gameplay Engineer,arcade-dev-03,litellm/worker,TODO,P1,TPA-PM1-004|TPA-PM1-019,2d,"Charge preview renders predicted arc; marker color states (neutral/destructible/enemy) are visible; optional ghost replay appears after miss; all toggles persisted in settings"
TPA-PM1-006,Combat Core,"Implement destructible system with networked states (Intact/Cracked/Destroyed) and material classes (brittle/reinforced/explosive/support)",Systems Engineer,arcade-dev-03,litellm/worker,TODO,P0,TPA-PM1-002|TPA-PM1-004,3d,"Destructibles replicate state to all clients; each material class responds per design rules; support-collapse and chain explosion events trigger deterministic gameplay outcomes"
TPA-PM1-007,Combat Core,"Implement ramp traversal and slope validation system with directional metadata and traction profiles",Gameplay Engineer,arcade-dev-02,litellm/worker,TODO,P0,TPA-PM1-002,3d,"Ramp metadata authoring component exists; tanks correctly traverse valid slope lanes; invalid slopes are blocked with readable feedback; behavior parity verified in host/client"
TPA-PM1-008,Combat Core,"Build networked pickup system (health box, mystery box, power-up spawner) with host-seeded RNG",Systems Engineer,arcade-dev-03,litellm/worker,TODO,P0,TPA-PM1-004|TPA-PM1-006,3d,"Pickup spawn/consume is host-authoritative; mystery outcomes derived from match seed; respawn policies configurable by mode; clients show synchronized pickup state"
TPA-PM1-009,Tank Classes,"Implement Blue and Green player tank classes with data-driven stat profiles and selectable loadout flow",Gameplay Engineer,arcade-dev-01,litellm/worker,TODO,P0,TPA-PM1-004|TPA-PM1-018,3d,"Blue and Green tanks selectable pre-match; stat deltas are ScriptableObject-driven; both classes can complete baseline test level; class choice syncs in multiplayer lobby"
TPA-PM1-010,AI Framework,"Implement AI framework (FSM + utility scoring + blackboard) with NavMesh movement and action points",AI Engineer,arcade-dev-04,litellm/worker,TODO,P0,TPA-PM1-002|TPA-PM1-004|TPA-PM1-007,4d,"AI brain supports state transitions from utility weights; shared blackboard tracks target/cover/objective data; NavMesh movement and puzzle action points execute reliably"
TPA-PM1-011,AI Enemies,"Ship red enemy variants: Scout, Bruiser, Sniper, and Saboteur/Engineer behaviors with readable telegraphs",AI Engineer,arcade-dev-04,litellm/worker,TODO,P0,TPA-PM1-010|TPA-PM1-020,4d,"All four enemy variants spawn and execute distinct behavior profiles; attack windups include audio/visual telegraphs; encounter test scene validates role differentiation"
TPA-PM1-012,Boss,"Implement final boss tank (Crimson Bastion style) with 3 phases, arena interaction hooks, and transition checkpoints",AI Engineer,arcade-dev-04,litellm/worker,TODO,P0,TPA-PM1-010|TPA-PM1-011|TPA-PM1-016|TPA-PM1-017,5d,"Boss has at least 3 scripted phases with unique mechanics; phase transitions include checkpoint restore points; kill condition requires mechanic execution not pure DPS race"
TPA-PM1-013,Multiplayer,"Implement multiplayer session flow using UGS Lobby + Relay (create/join/invite, ready-up, scene sync, host disconnect handling)",Network Engineer,arcade-dev-05,litellm/worker,TODO,P0,TPA-PM1-001|TPA-PM1-002|TPA-PM1-003,4d,"Two-player co-op flow works end-to-end through Lobby/Relay; ready state gates match start; synchronized scene load succeeds; host disconnect exits gracefully with rejoin prompt"
